detailed_review,sentiment
The color is slightly different from the pictures but still fine.,Neutral
The product arrived damaged and unusable.,Negative
Excellent build quality and fast performance.,Positive
"The product is okay, works as described but nothing exceptional.",Neutral
"Lightweight and easy to use, definitely worth the price.",Positive
Excellent build quality and fast performance.,Positive
Customer service was unhelpful when I tried to return it.,Negative
"Lightweight and easy to use, definitely worth the price.",Positive
"It's functional, but I have seen better options.",Neutral
"Lightweight and easy to use, definitely worth the price.",Positive
"It's functional, but I have seen better options.",Neutral
Excellent build quality and fast performance.,Positive
The color is slightly different from the pictures but still fine.,Neutral
"Packaging was fine, but delivery took longer than expected.",Neutral
"The product is okay, works as described but nothing exceptional.",Neutral
"Poor quality material, not worth the price.",Negative
Very comfortable to wear and looks stylish.,Positive
This phone’s battery lasts all day and the camera quality is stunning!,Positive
"Average quality, neither too good nor too bad.",Neutral
Completely disappointed — it stopped working after two days.,Negative
This phone’s battery lasts all day and the camera quality is stunning!,Positive
The product arrived damaged and unusable.,Negative
"It's functional, but I have seen better options.",Neutral
The product exceeded my expectations in every way.,Positive
Very comfortable to wear and looks stylish.,Positive
"Lightweight and easy to use, definitely worth the price.",Positive
Very comfortable to wear and looks stylish.,Positive
"Lightweight and easy to use, definitely worth the price.",Positive
"Packaging was fine, but delivery took longer than expected.",Neutral
Excellent build quality and fast performance.,Positive
"It's functional, but I have seen better options.",Neutral
Customer service was unhelpful when I tried to return it.,Negative
"Poor quality material, not worth the price.",Negative
"Lightweight and easy to use, definitely worth the price.",Positive
Very comfortable to wear and looks stylish.,Positive
"Average quality, neither too good nor too bad.",Neutral
This phone’s battery lasts all day and the camera quality is stunning!,Positive
Excellent build quality and fast performance.,Positive
"It's functional, but I have seen better options.",Neutral
"Lightweight and easy to use, definitely worth the price.",Positive
"Lightweight and easy to use, definitely worth the price.",Positive
"Average quality, neither too good nor too bad.",Neutral
The product exceeded my expectations in every way.,Positive
Customer service was unhelpful when I tried to return it.,Negative
The color is slightly different from the pictures but still fine.,Neutral
The color is slightly different from the pictures but still fine.,Neutral
"The product is okay, works as described but nothing exceptional.",Neutral
"Packaging was fine, but delivery took longer than expected.",Neutral
The product arrived damaged and unusable.,Negative
This phone’s battery lasts all day and the camera quality is stunning!,Positive
"Packaging was fine, but delivery took longer than expected.",Neutral
"Lightweight and easy to use, definitely worth the price.",Positive
"The product is okay, works as described but nothing exceptional.",Neutral
Customer service was unhelpful when I tried to return it.,Negative
Excellent build quality and fast performance.,Positive
Very slow and lags constantly.,Negative
The product arrived damaged and unusable.,Negative
Excellent build quality and fast performance.,Positive
Customer service was unhelpful when I tried to return it.,Negative
The product exceeded my expectations in every way.,Positive
The product arrived damaged and unusable.,Negative
The product exceeded my expectations in every way.,Positive
"It's functional, but I have seen better options.",Neutral
Customer service was unhelpful when I tried to return it.,Negative
"Packaging was fine, but delivery took longer than expected.",Neutral
Very comfortable to wear and looks stylish.,Positive
Very comfortable to wear and looks stylish.,Positive
"It's functional, but I have seen better options.",Neutral
"Poor quality material, not worth the price.",Negative
Customer service was unhelpful when I tried to return it.,Negative
Very slow and lags constantly.,Negative
"Average quality, neither too good nor too bad.",Neutral
Customer service was unhelpful when I tried to return it.,Negative
The product arrived damaged and unusable.,Negative
The color is slightly different from the pictures but still fine.,Neutral
"Average quality, neither too good nor too bad.",Neutral
"The product is okay, works as described but nothing exceptional.",Neutral
"Average quality, neither too good nor too bad.",Neutral
The color is slightly different from the pictures but still fine.,Neutral
Excellent build quality and fast performance.,Positive
"Lightweight and easy to use, definitely worth the price.",Positive
The color is slightly different from the pictures but still fine.,Neutral
"It's functional, but I have seen better options.",Neutral
Customer service was unhelpful when I tried to return it.,Negative
"Poor quality material, not worth the price.",Negative
The product exceeded my expectations in every way.,Positive
Very slow and lags constantly.,Negative
"It's functional, but I have seen better options.",Neutral
This phone’s battery lasts all day and the camera quality is stunning!,Positive
Excellent build quality and fast performance.,Positive
Very comfortable to wear and looks stylish.,Positive
Customer service was unhelpful when I tried to return it.,Negative
Excellent build quality and fast performance.,Positive
"Lightweight and easy to use, definitely worth the price.",Positive
"Packaging was fine, but delivery took longer than expected.",Neutral
The product arrived damaged and unusable.,Negative
"Packaging was fine, but delivery took longer than expected.",Neutral
Completely disappointed — it stopped working after two days.,Negative
This phone’s battery lasts all day and the camera quality is stunning!,Positive
Very slow and lags constantly.,Negative
"It's functional, but I have seen better options.",Neutral
Excellent build quality and fast performance.,Positive
Very comfortable to wear and looks stylish.,Positive
"Lightweight and easy to use, definitely worth the price.",Positive
Completely disappointed — it stopped working after two days.,Negative
Very comfortable to wear and looks stylish.,Positive
"It's functional, but I have seen better options.",Neutral
"It's functional, but I have seen better options.",Neutral
Excellent build quality and fast performance.,Positive
Customer service was unhelpful when I tried to return it.,Negative
This phone’s battery lasts all day and the camera quality is stunning!,Positive
"It's functional, but I have seen better options.",Neutral
The product exceeded my expectations in every way.,Positive
Very comfortable to wear and looks stylish.,Positive
"Average quality, neither too good nor too bad.",Neutral
Customer service was unhelpful when I tried to return it.,Negative
This phone’s battery lasts all day and the camera quality is stunning!,Positive
Completely disappointed — it stopped working after two days.,Negative
Very comfortable to wear and looks stylish.,Positive
The color is slightly different from the pictures but still fine.,Neutral
"Poor quality material, not worth the price.",Negative
This phone’s battery lasts all day and the camera quality is stunning!,Positive
Very comfortable to wear and looks stylish.,Positive
Very slow and lags constantly.,Negative
This phone’s battery lasts all day and the camera quality is stunning!,Positive
Very comfortable to wear and looks stylish.,Positive
"Lightweight and easy to use, definitely worth the price.",Positive
Completely disappointed — it stopped working after two days.,Negative
"Poor quality material, not worth the price.",Negative
The product exceeded my expectations in every way.,Positive
Very slow and lags constantly.,Negative
"Packaging was fine, but delivery took longer than expected.",Neutral
"Poor quality material, not worth the price.",Negative
"The product is okay, works as described but nothing exceptional.",Neutral
"Packaging was fine, but delivery took longer than expected.",Neutral
"Average quality, neither too good nor too bad.",Neutral
Completely disappointed — it stopped working after two days.,Negative
The product arrived damaged and unusable.,Negative
Customer service was unhelpful when I tried to return it.,Negative
"Poor quality material, not worth the price.",Negative
"Lightweight and easy to use, definitely worth the price.",Positive
"It's functional, but I have seen better options.",Neutral
"Lightweight and easy to use, definitely worth the price.",Positive
"Packaging was fine, but delivery took longer than expected.",Neutral
The color is slightly different from the pictures but still fine.,Neutral
This phone’s battery lasts all day and the camera quality is stunning!,Positive
This phone’s battery lasts all day and the camera quality is stunning!,Positive
The product arrived damaged and unusable.,Negative
Very comfortable to wear and looks stylish.,Positive
"Poor quality material, not worth the price.",Negative
Completely disappointed — it stopped working after two days.,Negative
"Average quality, neither too good nor too bad.",Neutral
"The product is okay, works as described but nothing exceptional.",Neutral
Excellent build quality and fast performance.,Positive
The color is slightly different from the pictures but still fine.,Neutral
"Lightweight and easy to use, definitely worth the price.",Positive
Very slow and lags constantly.,Negative
Customer service was unhelpful when I tried to return it.,Negative
"Average quality, neither too good nor too bad.",Neutral
"Lightweight and easy to use, definitely worth the price.",Positive
This phone’s battery lasts all day and the camera quality is stunning!,Positive
The product arrived damaged and unusable.,Negative
"Average quality, neither too good nor too bad.",Neutral
Customer service was unhelpful when I tried to return it.,Negative
Excellent build quality and fast performance.,Positive
"Packaging was fine, but delivery took longer than expected.",Neutral
Completely disappointed — it stopped working after two days.,Negative
Customer service was unhelpful when I tried to return it.,Negative
Excellent build quality and fast performance.,Positive
"Average quality, neither too good nor too bad.",Neutral
"Lightweight and easy to use, definitely worth the price.",Positive
The product arrived damaged and unusable.,Negative
Completely disappointed — it stopped working after two days.,Negative
The color is slightly different from the pictures but still fine.,Neutral
"The product is okay, works as described but nothing exceptional.",Neutral
The product exceeded my expectations in every way.,Positive
Very comfortable to wear and looks stylish.,Positive
"Lightweight and easy to use, definitely worth the price.",Positive
"It's functional, but I have seen better options.",Neutral
The color is slightly different from the pictures but still fine.,Neutral
The color is slightly different from the pictures but still fine.,Neutral
The product exceeded my expectations in every way.,Positive
"Poor quality material, not worth the price.",Negative
This phone’s battery lasts all day and the camera quality is stunning!,Positive
Completely disappointed — it stopped working after two days.,Negative
The product arrived damaged and unusable.,Negative
The color is slightly different from the pictures but still fine.,Neutral
Customer service was unhelpful when I tried to return it.,Negative
"The product is okay, works as described but nothing exceptional.",Neutral
Very comfortable to wear and looks stylish.,Positive
"Average quality, neither too good nor too bad.",Neutral
Very slow and lags constantly.,Negative
"It's functional, but I have seen better options.",Neutral
"Average quality, neither too good nor too bad.",Neutral
"Packaging was fine, but delivery took longer than expected.",Neutral
Very comfortable to wear and looks stylish.,Positive
Completely disappointed — it stopped working after two days.,Negative
This phone’s battery lasts all day and the camera quality is stunning!,Positive
"Average quality, neither too good nor too bad.",Neutral
Excellent build quality and fast performance.,Positive
"Average quality, neither too good nor too bad.",Neutral
Very slow and lags constantly.,Negative
"Poor quality material, not worth the price.",Negative
Very comfortable to wear and looks stylish.,Positive
The product exceeded my expectations in every way.,Positive
This phone’s battery lasts all day and the camera quality is stunning!,Positive
"It's functional, but I have seen better options.",Neutral
The product arrived damaged and unusable.,Negative
"Average quality, neither too good nor too bad.",Neutral
"It's functional, but I have seen better options.",Neutral
"Average quality, neither too good nor too bad.",Neutral
"Lightweight and easy to use, definitely worth the price.",Positive
Completely disappointed — it stopped working after two days.,Negative
"Packaging was fine, but delivery took longer than expected.",Neutral
"Lightweight and easy to use, definitely worth the price.",Positive
This phone’s battery lasts all day and the camera quality is stunning!,Positive
Completely disappointed — it stopped working after two days.,Negative
The product arrived damaged and unusable.,Negative
Completely disappointed — it stopped working after two days.,Negative
"Packaging was fine, but delivery took longer than expected.",Neutral
The product arrived damaged and unusable.,Negative
"The product is okay, works as described but nothing exceptional.",Neutral
The product exceeded my expectations in every way.,Positive
The color is slightly different from the pictures but still fine.,Neutral
Customer service was unhelpful when I tried to return it.,Negative
The color is slightly different from the pictures but still fine.,Neutral
The product arrived damaged and unusable.,Negative
"It's functional, but I have seen better options.",Neutral
"Poor quality material, not worth the price.",Negative
Excellent build quality and fast performance.,Positive
"Average quality, neither too good nor too bad.",Neutral
Very comfortable to wear and looks stylish.,Positive
Completely disappointed — it stopped working after two days.,Negative
"Poor quality material, not worth the price.",Negative
"The product is okay, works as described but nothing exceptional.",Neutral
Excellent build quality and fast performance.,Positive
"It's functional, but I have seen better options.",Neutral
This phone’s battery lasts all day and the camera quality is stunning!,Positive
Excellent build quality and fast performance.,Positive
The color is slightly different from the pictures but still fine.,Neutral
Excellent build quality and fast performance.,Positive
The product arrived damaged and unusable.,Negative
Customer service was unhelpful when I tried to return it.,Negative
"Lightweight and easy to use, definitely worth the price.",Positive
"Packaging was fine, but delivery took longer than expected.",Neutral
"Poor quality material, not worth the price.",Negative
The color is slightly different from the pictures but still fine.,Neutral
Customer service was unhelpful when I tried to return it.,Negative
Very comfortable to wear and looks stylish.,Positive
"It's functional, but I have seen better options.",Neutral
"Average quality, neither too good nor too bad.",Neutral
"It's functional, but I have seen better options.",Neutral
The product exceeded my expectations in every way.,Positive
"Packaging was fine, but delivery took longer than expected.",Neutral
The product arrived damaged and unusable.,Negative
This phone’s battery lasts all day and the camera quality is stunning!,Positive
Very slow and lags constantly.,Negative
Completely disappointed — it stopped working after two days.,Negative
The product exceeded my expectations in every way.,Positive
"Average quality, neither too good nor too bad.",Neutral
"The product is okay, works as described but nothing exceptional.",Neutral
"Packaging was fine, but delivery took longer than expected.",Neutral
"Average quality, neither too good nor too bad.",Neutral
The product exceeded my expectations in every way.,Positive
The color is slightly different from the pictures but still fine.,Neutral
The product exceeded my expectations in every way.,Positive
"Poor quality material, not worth the price.",Negative
"Poor quality material, not worth the price.",Negative
The product arrived damaged and unusable.,Negative
Very slow and lags constantly.,Negative
The product exceeded my expectations in every way.,Positive
"The product is okay, works as described but nothing exceptional.",Neutral
"Average quality, neither too good nor too bad.",Neutral
Excellent build quality and fast performance.,Positive
This phone’s battery lasts all day and the camera quality is stunning!,Positive
Very comfortable to wear and looks stylish.,Positive
